"Ratio of education and health expenditure to military expenditure"
"144","Zambia","..","..","..","..","5.4","..","..","..","..","..","..","..","..","..","..","..","..",".."
"156","Zimbabwe","..","..","..","..","..","..","13.9","..","..","..","7.0","..","6.5","..","7.1","..","..",".."
"85","Algeria","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"35","Andorra","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"70","Antigua and Barbuda","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"54","Bahamas","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"58","Barbados","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"134","Bhutan","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"77","Bosnia and Herzegovina","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"165","Comoros","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"63","Costa Rica","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"73","Cuba","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"103","Dominica","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"141","Equatorial Guinea","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"179","Eritrea","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"75","Grenada","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"168","Haiti","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"7","Hong Kong, China (SAR)","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"6","Iceland","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"120","Iraq","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"95","Jordan","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"134","Kiribati","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"n.a","Korea (Democratic People's Rep. of)","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"108","Libya","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"17","Liechtenstein","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"101","Maldives","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"106","Marshall Islands","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"131","Micronesia (Federated States of)","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"n.a","Monaco","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"50","Montenegro","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
